old_name.string(),new_name.string()
Analysis & Corporate Insight,"Data, Analytics and Research"
Belfast office/ LFP Belfast,Belfast Office
Building services,Estates
Directors Support,Chief Executive Office
Communications Team,Internal Communications
COT Company Support,Customer Service & Enablers
CPES,Maintain a Company
Purchasing,Commercial
LFP / Technical Offences / Prosecution,Compliance & Enforcement
Finance Operations Finance Systems,Core Finance
Human Resources & Estates,Human Resources
LFP Edinburgh/ Edinburgh Office,Edinburgh Office
Product,Product Delivery/Design
Programmes & Project Management,Project Management Office/ Portfolio
Register Integrity / Register Functions,Integrity Compliance & Enforcement
Strategy and Policy,Strategy & Planning
Development,Software Developer